PM2.5,PM10,CO,SO2,NO2,O3,Temperature,Humidity,Wind_Speed,AQI
66.18101782710437,96.59390183043784,7.22702994208898,52.943942960511094,87.79083448933864,117.71806382494493,41.97523039909432,22.607771642993725,10.81459482301084,111.60971825493299
152.60714596148742,219.69186452455486,8.466813971913723,46.09662841722439,30.686363452619947,169.9208470797013,28.38761686368243,21.84431325357423,2.2004885464890496,145.55842036808798
119.79909127171076,145.29485761702313,3.00467898792499,28.05476207676236,114.68734760257779,42.516003770552636,35.37185951426295,71.73872669955824,4.634947171806084,119.44229268443472
99.79877262955549,136.78658433526286,6.748740996069989,5.517148623176844,83.57394868830897,43.36093383007003,25.261690429040573,42.260679337000866,12.605190197188762,94.59113642648174
33.40279606636548,46.43315363945339,6.217459831437487,44.69913775206511,28.86446602683451,120.22730485009536,32.051210213985335,75.74101301773645,8.930287805182296,63.31786983602599
33.39917805043039,46.739190195388154,8.82830376788271,27.85007908497945,125.48056689774482,190.34815760450675,21.920157809739152,50.22129766899944,14.919535926805672,43.18446553085711
18.71254182522992,27.8833000527805,9.560870604812605,63.76866405684281,72.20385560023848,94.69959650673576,20.54056569249059,51.70986705809747,7.431271125120314,66.97679573190285
139.92642186624028,205.24425377059103,0.6215677147738681,6.915701221638679,18.7478142245986,78.84957804584509,30.238042515932978,55.901782175670164,14.047185487208846,96.67684431545693
100.16725176148132,150.6467933522414,7.240199190587926,51.78622490446327,85.21994852980806,129.20407817561943,27.434538596439314,69.91220194625727,7.734331562173563,120.4622728794831
116.21088666940682,183.89694501448744,1.0183579911972902,80.31793900048524,40.38386884153723,187.4807480981056,30.283772920249337,39.14520060807949,15.688724180529778,125.7233340930339
13.087674144370368,21.025255189412672,5.988586650773559,18.95274136891996,106.4432142252763,170.64700991203227,20.033120345045802,28.511114467346882,15.39751572098315,48.08979786467377
155.48647782429916,242.41298727256313,3.376327290436782,42.73195926004763,108.13864882794287,199.18704993197957,22.84352411359483,58.924013463402304,5.937050583341205,137.93100718520705
134.86639612006326,226.27369398445845,3.567765995221412,12.313759345371054,127.47368270255943,24.062344976427877,12.936428622011826,42.88843362699175,14.288855056252048,120.7713048108848
